,topic
0,"(0, '0.078*""service"" + 0.059*""good"" + 0.058*""price"" + 0.047*""easy"" + 0.044*""use"" + 0.042*""great"" + 0.042*""tyre"" + 0.029*""excellent"" + 0.019*""garage"" + 0.019*""fit""')"
1,"(1, '0.057*""tyre"" + 0.038*""time"" + 0.031*""fit"" + 0.029*""garage"" + 0.020*""get"" + 0.017*""go"" + 0.014*""car"" + 0.013*""use"" + 0.012*""fitting"" + 0.012*""day""')"
2,"(2, '0.043*""start"" + 0.042*""finish"" + 0.026*""exactly"" + 0.010*""smooth"" + 0.007*""perfect"" + 0.007*""faultless"" + 0.006*""process"" + 0.006*""say"" + 0.006*""tin"" + 0.004*""whole""')"
3,"(3, '0.048*""staff"" + 0.041*""helpful"" + 0.027*""friendly"" + 0.018*""hassle_free"" + 0.011*""polite"" + 0.010*""first_class"" + 0.008*""guy"" + 0.008*""knowledgeable"" + 0.004*""nice"" + 0.003*""professional""')"
4,"(4, '0.020*""anywhere_else"" + 0.011*""wide"" + 0.009*""seamless"" + 0.008*""class"" + 0.006*""top"" + 0.005*""grip"" + 0.005*""past"" + 0.005*""noise"" + 0.004*""market"" + 0.004*""whatsoever""')"
5,"(5, '0.046*""tyre"" + 0.018*""car"" + 0.011*""order"" + 0.011*""fit"" + 0.009*""buy"" + 0.008*""size"" + 0.008*""pressure"" + 0.008*""wrong"" + 0.007*""get"" + 0.007*""customer""')"
6,"(6, '0.027*""smoothly"" + 0.011*""efficiently"" + 0.010*""complaint"" + 0.009*""go"" + 0.005*""keen"" + 0.004*""unbeatable"" + 0.003*""finance"" + 0.002*""satisfaction"" + 0.002*""transaction"" + 0.002*""opinion""')"
7,"(7, '0.028*""day"" + 0.022*""email"" + 0.016*""call"" + 0.015*""appointment"" + 0.014*""customer"" + 0.013*""book"" + 0.012*""receive"" + 0.010*""tell"" + 0.010*""garage"" + 0.009*""phone""')"
8,"(8, '0.009*""painless"" + 0.003*""turnaround"" + 0.002*""huge"" + 0.002*""dream"" + 0.001*""amount"" + 0.001*""winter"" + 0.001*""dot"" + 0.001*""sofa"" + 0.001*""hood"" + 0.001*""gpod""')"
9,"(9, '0.016*""charge"" + 0.009*""torque"" + 0.008*""alloy"" + 0.008*""wheel"" + 0.008*""wheel_nut"" + 0.006*""mcconechy"" + 0.005*""seat"" + 0.005*""cover"" + 0.004*""bolt"" + 0.004*""break""')"
